Time(s):	R.Med. Gastro(μV):	R.Tib.Ant.(μV):	R.Rectus Fem.(μV):	R.Biceps Fem.(μV):
0.100500	 45.075990	 115.854160	 475.623780	 42.284360	 
0.101000	 45.045120	 115.865650	 476.158230	 38.705030	 
0.101500	 44.893380	 115.971800	 477.411010	 35.372150	 
0.102000	 44.576370	 116.130170	 475.047390	 33.661090	 
0.102500	 44.058260	 116.261920	 469.666470	 33.536900	 
0.103000	 43.272380	 116.328410	 463.533230	 33.713310	 
0.103500	 42.104500	 116.325700	 458.151310	 33.027990	 
0.104000	 40.418690	 116.259670	 453.383730	 31.144120	 
0.104500	 38.135180	 116.142090	 447.589600	 28.370630	 
0.105000	 35.323030	 116.005400	 438.409910	 25.269800	 
0.105500	 32.224020	 115.907860	 424.146150	 22.443890	 
0.106000	 29.173080	 115.890520	 405.506680	 20.481790	 
0.106500	 26.484740	 115.872960	 386.783200	 19.714990	 
0.107000	 24.391600	 115.545080	 374.816350	 19.781090	 
0.107500	 23.037480	 114.420100	 374.956940	 19.811140	 
0.108000	 22.470700	 112.213900	 386.859500	 19.248620	 
0.108500	 22.610340	 109.345790	 404.766110	 18.283270	 
0.109000	 23.224520	 106.900540	 421.798190	 17.539170	 
0.109500	 23.987750	 105.741790	 433.649410	 17.372970	 
0.110000	 24.606860	 105.634250	 439.449370	 17.528350	 
0.110500	 24.912670	 105.502800	 440.514100	 17.555960	 
0.111000	 24.853930	 104.494560	 438.600070	 17.398200	 
0.111500	 24.439220	 102.578020	 434.973050	 17.492450	 
0.112000	 23.703630	 100.243420	 430.500180	 18.269840	 
0.112500	 22.714200	 97.897360	 426.054110	 19.590080	 
0.113000	 21.576300	 95.606530	 422.595790	 20.903410	 
0.113500	 20.417950	 93.269750	 420.870480	 21.800880	 
0.114000	 19.365630	 90.957810	 421.067900	 22.231970	 
0.114500	 18.541150	 89.125020	 422.831510	 22.368120	 
0.115000	 18.084580	 88.330270	 425.605100	 22.388400	 
0.115500	 18.147650	 88.513270	 428.952640	 22.379340	 
0.116000	 18.811810	 88.583270	 432.613980	 22.362920	 
0.116500	 20.005930	 86.804080	 436.384160	 22.348410	 
0.117000	 21.530160	 81.615670	 440.012390	 22.342320	 
0.117500	 23.152920	 72.390980	 443.205230	 22.339820	 
0.118000	 24.686780	 59.845340	 445.697780	 22.323770	 
0.118500	 26.018050	 46.001840	 447.326630	 22.263830	 
0.119000	 27.102570	 33.854420	 448.081540	 22.117540	 
0.119500	 27.937490	 26.620010	 448.149020	 21.856120	 
0.120000	 28.531800	 25.253050	 447.943700	 21.505800	 
0.120500	 28.902930	 26.861150	 448.084170	 21.157700	 
0.121000	 29.088780	 28.552670	 449.281370	 20.925110	 
0.121500	 29.145760	 29.328920	 452.170440	 20.857650	 
0.122000	 29.131840	 29.218130	 457.079350	 20.855240	 
0.122500	 29.092040	 28.699220	 463.700130	 20.690580	 
0.123000	 29.053670	 28.516350	 470.888550	 20.174700	 
0.123500	 29.029300	 29.296250	 477.016720	 19.325370	 
0.124000	 29.023270	 31.058570	 480.864990	 18.384920	 
0.124500	 29.039640	 33.317900	 482.371280	 17.668900	 
0.125000	 29.090660	 35.611710	 482.528320	 17.357520	 
0.125500	 29.201010	 37.729850	 482.351840	 17.396100	 
0.126000	 29.400590	 39.594850	 481.600130	 17.581500	 
0.126500	 29.704330	 41.100780	 478.188080	 17.726690	 
0.127000	 30.084180	 42.089160	 469.006470	 17.756760	 
0.127500	 30.447220	 42.490260	 452.079280	 17.693660	 
0.128000	 30.647170	 42.507870	 428.517790	 17.580090	 
0.128500	 30.550290	 42.618030	 402.558900	 17.428040	 
0.129000	 30.135450	 43.282960	 379.658720	 17.225510	 
0.129500	 29.549180	 44.610850	 363.913060	 16.986470	 
0.130000	 29.032680	 46.300500	 356.466280	 16.799400	 
0.130500	 28.759830	 47.870020	 356.120090	 16.755380	 
0.131000	 28.741960	 48.930950	 361.316350	 16.728900	 
0.131500	 28.874530	 49.372440	 371.055940	 16.309550	 
0.132000	 29.039850	 49.412200	 383.906830	 15.102830	 
0.132500	 29.169410	 49.475400	 397.011690	 13.099850	 
0.133000	 29.246660	 49.926130	 406.903870	 10.778520	 
0.133500	 29.275420	 50.834210	 411.445130	 8.936310	 
0.134000	 29.247360	 51.981540	 411.083920	 8.324950	 
0.134500	 29.123160	 53.073790	 408.631100	 9.140600	 
0.135000	 28.828640	 53.949060	 407.784480	 10.963680	 
0.135500	 28.276810	 54.651730	 411.115750	 13.201850	 
0.136000	 27.413040	 55.345950	 418.730740	 15.314480	 
0.136500	 26.245050	 56.124860	 428.602870	 16.900670	 
0.137000	 24.831090	 56.881040	 438.139710	 17.792370	 
0.137500	 23.252660	 57.381870	 445.580780	 18.088690	 
0.138000	 21.606050	 57.486040	 450.420320	 18.089110	 
0.138500	 20.007040	 57.271310	 453.047580	 18.157230	 
0.139000	 18.580910	 56.949700	 454.169680	 18.589860	 
0.139500	 17.438260	 56.696900	 454.399080	 19.536940	 
0.140000	 16.657400	 56.552770	 454.071230	 20.973710	 
0.140500	 16.265620	 56.430860	 453.200900	 22.726110	 
0.141000	 16.217970	 56.235530	 451.511380	 24.530380	 
0.141500	 16.409310	 56.006570	 448.550290	 26.106490	 
0.142000	 16.719690	 55.895110	 443.948760	 27.245600	 
0.142500	 17.053910	 55.923610	 437.785030	 27.867960	 
0.143000	 17.353890	 55.845760	 430.821290	 28.037690	 
0.143500	 17.589710	 55.366090	 424.380680	 28.028180	 
0.144000	 17.747090	 54.436790	 419.840610	 28.411280	 
0.144500	 17.818660	 53.231560	 417.868470	 29.818750	 
0.145000	 17.792400	 51.910740	 417.713260	 32.257000	 
0.145500	 17.639450	 50.540840	 417.181700	 34.850650	 
0.146000	 17.313000	 49.192070	 413.733610	 36.577780	 
0.146500	 16.761750	 48.023240	 406.229520	 37.137780	 
0.147000	 15.961000	 47.269730	 395.963530	 37.083260	 
0.147500	 14.960260	 47.088130	 385.741090	 37.140880	 
0.148000	 13.921640	 47.328210	 377.740230	 37.455030	 
0.148500	 13.092650	 47.490330	 372.405400	 37.691880	 
0.149000	 12.659420	 46.998130	 369.004460	 37.708850	 
0.149500	 12.569990	 45.694360	 366.533450	 37.719740	 
0.150000	 12.563610	 44.279370	 364.036190	 37.879530	 
0.150500	 12.395430	 44.056100	 360.408390	 38.067790	 
0.151000	 11.995740	 45.729750	 354.178650	 38.134460	 
0.151500	 11.462460	 48.584720	 344.002040	 38.134770	 
