Time(s):	R.Med. Gastro(μV):	R.Tib.Ant.(μV):	R.Rectus Fem.(μV):	R.Biceps Fem.(μV):
0.136000	 7.846320	 84.608580	 2.993210	 7.025490	 
0.136500	 7.650590	 84.827710	 3.007250	 7.103860	 
0.137000	 7.497660	 84.925910	 3.025580	 7.153690	 
0.137500	 7.474660	 84.855870	 3.053740	 7.182400	 
0.138000	 7.597010	 84.582240	 3.074920	 7.195140	 
0.138500	 7.792230	 84.081540	 3.063080	 7.194120	 
0.139000	 7.953160	 83.343540	 3.010050	 7.181480	 
0.139500	 8.007440	 82.374210	 2.934390	 7.161440	 
0.140000	 7.950700	 81.195560	 2.865640	 7.138860	 
0.140500	 7.838370	 79.837790	 2.822510	 7.117070	 
0.141000	 7.746190	 78.326490	 2.806150	 7.096690	 
0.141500	 7.718630	 76.676440	 2.804880	 7.075740	 
0.142000	 7.745580	 74.898490	 2.804770	 7.052200	 
0.142500	 7.782750	 73.011630	 2.801060	 7.027390	 
0.143000	 7.791420	 71.045020	 2.796610	 7.007450	 
0.143500	 7.771190	 69.029130	 2.794230	 7.002010	 
0.144000	 7.767440	 66.990590	 2.793930	 7.021620	 
0.144500	 7.835920	 64.955090	 2.794300	 7.074670	 
0.145000	 7.979020	 62.943170	 2.795140	 7.165840	 
0.145500	 8.121250	 60.957150	 2.795470	 7.296230	 
0.146000	 8.173360	 58.979220	 2.786670	 7.460460	 
0.146500	 8.114260	 56.986650	 2.754140	 7.643070	 
0.147000	 7.989480	 54.967250	 2.693410	 7.824040	 
0.147500	 7.854080	 52.925240	 2.619580	 7.988670	 
0.148000	 7.742950	 50.879020	 2.556280	 8.129110	 
0.148500	 7.674690	 48.854620	 2.518340	 8.238750	 
0.149000	 7.642840	 46.880600	 2.506840	 8.310270	 
0.149500	 7.597360	 44.987350	 2.512670	 8.339270	 
0.150000	 7.497140	 43.209750	 2.519710	 8.325540	 
0.150500	 7.424130	 41.594060	 2.511600	 8.270270	 
0.151000	 7.563760	 40.198860	 2.478990	 8.173640	 
0.151500	 7.986560	 39.072820	 2.420290	 8.037580	 
0.152000	 8.542460	 38.224370	 2.342860	 7.874120	 
0.152500	 9.031800	 37.614600	 2.268620	 7.707010	 
0.153000	 9.377110	 37.175660	 2.232120	 7.556760	 
0.153500	 9.626320	 36.838930	 2.250390	 7.427920	 
0.154000	 9.881550	 36.561860	 2.297640	 7.315400	 
0.154500	 10.267970	 36.343650	 2.336860	 7.217190	 
0.155000	 10.889960	 36.221860	 2.356530	 7.137780	 
0.155500	 11.656960	 36.249390	 2.362200	 7.080630	 
0.156000	 12.215410	 36.457700	 2.357870	 7.038320	 
0.156500	 12.326710	 36.821340	 2.345630	 6.996270	 
0.157000	 12.353490	 37.252990	 2.327970	 6.949160	 
0.157500	 13.122120	 37.643240	 2.302760	 6.905160	 
0.158000	 15.075300	 37.918710	 2.263760	 6.875020	 
0.158500	 17.902060	 38.072260	 2.211290	 6.863590	 
0.159000	 21.031480	 38.143510	 2.154910	 6.870250	 
0.159500	 23.983980	 38.178850	 2.105800	 6.892850	 
0.160000	 26.418010	 38.212110	 2.071510	 6.930250	 
0.160500	 28.150540	 38.266870	 2.055200	 6.979150	 
0.161000	 29.198990	 38.358840	 2.056110	 7.030880	 
0.161500	 29.764320	 38.489600	 2.066860	 7.076390	 
0.162000	 30.123530	 38.643070	 2.074940	 7.112690	 
0.162500	 30.555600	 38.795450	 2.074540	 7.140710	 
0.163000	 31.423770	 38.931940	 2.071530	 7.158780	 
0.163500	 33.155260	 39.055060	 2.074050	 7.159090	 
0.164000	 35.815110	 39.182120	 2.085220	 7.129170	 
0.164500	 38.821310	 39.339070	 2.101240	 7.056340	 
0.165000	 41.366610	 39.550660	 2.113720	 6.929920	 
0.165500	 42.993720	 39.822380	 2.116890	 6.742380	 
0.166000	 43.737680	 40.120960	 2.110170	 6.494700	 
0.166500	 43.923240	 40.376370	 2.094340	 6.201320	 
0.167000	 43.916460	 40.517780	 2.070670	 5.885730	 
0.167500	 43.983200	 40.517680	 2.043130	 5.571280	 
0.168000	 44.254940	 40.402730	 2.016130	 5.280860	 
0.168500	 44.755780	 40.223920	 1.988540	 5.043070	 
0.169000	 45.452880	 40.019040	 1.953200	 4.885550	 
0.169500	 46.302800	 39.793170	 1.904660	 4.814120	 
0.170000	 47.270980	 39.514250	 1.849230	 4.805440	 
0.170500	 48.328880	 39.112660	 1.801410	 4.824840	 
0.171000	 49.461010	 38.493350	 1.768970	 4.848440	 
0.171500	 50.682070	 37.573080	 1.751180	 4.869890	 
0.172000	 52.022490	 36.325030	 1.747720	 4.891420	 
0.172500	 53.474330	 34.798660	 1.756090	 4.911090	 
0.173000	 54.953260	 33.109010	 1.762290	 4.918470	 
0.173500	 56.327470	 31.403260	 1.754390	 4.902290	 
0.174000	 57.490210	 29.808200	 1.739610	 4.858330	 
0.174500	 58.411000	 28.378310	 1.729160	 4.785600	 
0.175000	 59.144780	 27.080710	 1.721660	 4.684740	 
0.175500	 59.843830	 25.829900	 1.713170	 4.567440	 
0.176000	 60.771450	 24.550810	 1.703560	 4.460570	 
0.176500	 62.215300	 23.240070	 1.690580	 4.391920	 
0.177000	 64.297960	 21.991860	 1.673290	 4.366910	 
0.177500	 66.879370	 20.956400	 1.659360	 4.367240	 
0.178000	 69.643590	 20.242360	 1.656300	 4.380010	 
0.178500	 72.241210	 19.842410	 1.655780	 4.421030	 
0.179000	 74.341210	 19.658160	 1.641750	 4.511730	 
0.179500	 75.607720	 19.580120	 1.611040	 4.635370	 
0.180000	 75.827870	 19.527470	 1.576200	 4.733660	 
0.180500	 75.307370	 19.442930	 1.551290	 4.753440	 
0.181000	 75.174400	 19.289670	 1.540730	 4.696940	 
0.181500	 76.965160	 19.063020	 1.540970	 4.618600	 
0.182000	 81.440670	 18.793330	 1.545840	 4.569820	 
0.182500	 87.927290	 18.521230	 1.550370	 4.554560	 
0.183000	 95.094020	 18.262990	 1.552670	 4.541730	 
0.183500	 101.950510	 17.997890	 1.550080	 4.511430	 
0.184000	 108.049510	 17.677850	 1.538290	 4.478560	 
0.184500	 113.238500	 17.239440	 1.519380	 4.470940	 
0.185000	 117.436940	 16.619670	 1.502870	 4.493190	 
0.185500	 120.574230	 15.786510	 1.495140	 4.522140	 
0.186000	 122.638220	 14.777680	 1.494650	 4.536630	 
0.186500	 123.740940	 13.717490	 1.497720	 4.537730	 
0.187000	 124.133780	 12.777470	 1.500580	 4.536860	 
0.187500	 124.146750	 12.081690	 1.496610	 4.536350	 
0.188000	 124.079570	 11.633240	 1.478970	 4.522920	 
0.188500	 124.112340	 11.343930	 1.447260	 4.477970	 
0.189000	 124.284990	 11.117640	 1.409100	 4.392120	 
0.189500	 124.537940	 10.892260	 1.376220	 4.265970	 
0.190000	 124.771910	 10.643010	 1.356340	 4.105190	 
0.190500	 124.893940	 10.387660	 1.352880	 3.920740	 
0.191000	 124.841380	 10.194240	 1.374230	 3.725990	 
0.191500	 124.591710	 10.164940	 1.422680	 3.530010	 
0.192000	 124.164490	 10.381850	 1.475190	 3.339130	 
0.192500	 123.616160	 10.849790	 1.494810	 3.166330	 
0.193000	 123.029840	 11.491630	 1.459200	 3.033300	 
0.193500	 122.503290	 12.195610	 1.376860	 2.954290	 
0.194000	 122.129940	 12.869930	 1.291260	 2.920370	 
0.194500	 121.968930	 13.473520	 1.254610	 2.909940	 
0.195000	 122.017390	 14.014750	 1.275180	 2.904290	 
0.195500	 122.199810	 14.524930	 1.315890	 2.892960	 
0.196000	 122.372800	 15.029930	 1.343190	 2.880940	 
0.196500	 122.345480	 15.543060	 1.351170	 2.883700	 
0.197000	 121.934520	 16.076290	 1.349730	 2.909620	 
0.197500	 121.049480	 16.648100	 1.351980	 2.953380	 
0.198000	 119.746440	 17.277700	 1.367210	 2.991540	 
0.198500	 118.207260	 17.970450	 1.391050	 2.978640	 
0.199000	 116.701220	 18.706480	 1.406370	 2.877390	 
0.199500	 115.568520	 19.445260	 1.398750	 2.712450	 
0.200000	 115.092690	 20.146220	 1.369500	 2.599870	 
0.200500	 115.175300	 20.786160	 1.330470	 2.676090	 
0.201000	 115.113050	 21.362230	 1.290690	 2.928820	 
0.201500	 113.862650	 21.887170	 1.257340	 3.202440	 
0.202000	 110.681470	 22.379900	 1.243240	 3.373730	 
0.202500	 105.549570	 22.852770	 1.261270	 3.433510	 
0.203000	 98.945810	 23.305040	 1.311620	 3.446490	 
0.203500	 91.329570	 23.726310	 1.378040	 3.466540	 
0.204000	 82.983010	 24.103420	 1.438530	 3.492610	 
0.204500	 74.269210	 24.423990	 1.480590	 3.499490	 
0.205000	 65.876240	 24.675760	 1.504050	 3.491380	 
0.205500	 58.753560	 24.848670	 1.513590	 3.510180	 
0.206000	 53.760550	 24.941830	 1.514180	 3.589430	 
0.206500	 51.207900	 24.968400	 1.511250	 3.715390	 
0.207000	 50.638080	 24.952370	 1.510420	 3.845910	 
0.207500	 51.129610	 24.918000	 1.514250	 3.950260	 
0.208000	 51.844780	 24.880510	 1.520020	 4.024650	 
0.208500	 52.334800	 24.844720	 1.524180	 4.077110	 
0.209000	 52.508160	 24.809450	 1.527410	 4.110810	 
0.209500	 52.425950	 24.773390	 1.535140	 4.130950	 
0.210000	 52.114820	 24.737690	 1.560200	 4.151750	 
0.210500	 51.554090	 24.701840	 1.615540	 4.185380	 
0.211000	 50.819520	 24.656010	 1.692980	 4.230800	 
0.211500	 50.149310	 24.578460	 1.762270	 4.276430	 
0.212000	 49.785610	 24.444290	 1.797340	 4.311310	 
0.212500	 49.765290	 24.239420	 1.799480	 4.332980	 
0.213000	 49.894550	 23.967620	 1.792180	 4.344690	 
0.213500	 49.886590	 23.648260	 1.792100	 4.349520	 
0.214000	 49.517480	 23.307430	 1.790050	 4.348890	 
0.214500	 48.752700	 22.964270	 1.769510	 4.344340	 
0.215000	 47.773990	 22.622160	 1.732950	 4.339770	 
0.215500	 46.774070	 22.273110	 1.698290	 4.339870	 
0.216000	 45.693520	 21.908240	 1.679460	 4.343470	 
0.216500	 44.314860	 21.522300	 1.674820	 4.342130	 
0.217000	 42.615800	 21.110440	 1.674780	 4.328240	 
0.217500	 40.878840	 20.667390	 1.673490	 4.300000	 
0.218000	 39.488660	 20.194440	 1.668810	 4.260540	 
0.218500	 38.709450	 19.708980	 1.662800	 4.215940	 
0.219000	 38.536880	 19.247210	 1.661420	 4.168480	 
0.219500	 38.617810	 18.852030	 1.666890	 4.106780	 
0.220000	 38.452660	 18.548210	 1.672710	 4.006090	 
0.220500	 37.989350	 18.325370	 1.672250	 3.843620	 
0.221000	 38.109440	 18.144580	 1.669310	 3.624670	 
