NO_OF_FRAMES	149
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-18, 15:16:24	790.93115550
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
13757	137.56000	274.377	384.990	1767.523	387.009	166.156	1475.827	407.668	74.487	1123.102	277.539	130.650	887.630	389.305	533.038	1458.041	480.757	617.944	1104.846	365.720	592.839	866.377	427.107	166.368	908.974	379.744	162.186	494.220	734.237	216.352	221.364	780.146	269.256	260.773	741.639	214.370	95.582	703.913	253.163	12.584	407.004	516.772	918.535	274.846	463.136	513.444	276.849	414.521	64.453	331.150	365.353	24.363	164.043	436.375	22.936	64.683	391.464	21.938
13758	137.57000	263.751	387.002	1768.189	377.535	167.144	1477.180	399.656	74.702	1124.591	271.703	130.631	888.376	377.985	533.865	1458.889	467.590	620.056	1105.451	351.703	593.389	867.662	415.838	167.756	909.713	357.008	161.460	496.702	713.056	216.144	229.386	757.250	271.491	268.515	726.854	211.438	104.326	697.852	238.656	16.681	397.150	517.783	920.005	270.971	463.960	513.551	276.732	414.280	64.428	331.443	365.270	24.213	164.014	436.467	22.812	64.616	391.402	21.888
13759	137.58000	253.256	388.809	1769.044	368.188	167.866	1478.549	391.963	75.200	1125.722	265.972	130.559	888.919	366.890	534.467	1459.581	454.092	622.000	1106.186	337.769	594.051	868.656	406.112	168.101	910.676	334.775	161.186	499.215	692.407	216.477	236.227	733.812	274.668	275.060	710.121	207.672	112.606	686.936	225.551	23.361	388.117	518.432	921.679	267.023	464.687	513.481	276.645	414.108	64.508	331.457	365.249	24.233	164.029	436.618	22.750	64.503	391.341	21.789
13760	137.59000	242.691	390.726	1769.716	359.083	168.476	1479.901	384.267	75.312	1127.239	260.587	130.575	888.706	356.263	535.142	1460.725	440.409	623.743	1106.815	323.635	594.619	869.707	395.473	168.836	911.564	313.359	160.884	502.255	671.486	217.490	242.428	710.723	278.289	278.946	690.259	203.320	120.558	669.911	214.287	29.473	379.740	519.227	922.590	262.794	465.417	513.507	276.788	414.047	64.691	331.679	365.318	24.354	164.017	436.688	22.774	64.632	391.228	21.777
13761	137.60000	231.857	392.149	1770.936	350.324	169.082	1480.826	376.306	75.347	1128.961	254.635	130.532	889.120	345.211	535.478	1461.535	426.465	625.392	1107.344	309.725	595.128	870.956	384.916	169.918	913.820	291.539	160.861	506.099	649.994	218.329	247.915	690.287	279.932	281.114	666.645	198.828	126.813	647.460	204.456	35.470	370.803	520.389	924.143	258.932	466.367	513.404	276.764	414.162	64.359	331.469	365.305	24.118	163.983	436.776	22.678	64.697	391.117	21.842
13762	137.61000	221.461	393.599	1771.516	341.685	169.444	1481.980	368.998	75.731	1130.102	248.785	130.425	890.361	334.719	535.920	1462.671	413.141	627.175	1108.491	295.597	595.743	872.229	374.935	170.429	915.392	270.540	160.807	509.990	627.284	219.048	251.731	669.834	280.838	281.680	639.330	194.429	130.499	618.519	196.685	40.355	361.847	521.313	925.279	255.417	466.989	513.243	276.706	413.868	64.258	331.801	365.382	24.173	163.965	436.942	22.541	64.726	391.074	21.812
13763	137.62000	210.591	394.615	1772.320	333.127	170.231	1483.119	361.852	76.013	1131.419	242.744	130.519	891.097	324.120	536.332	1463.713	400.043	628.514	1109.096	281.102	596.255	873.436	364.281	170.798	917.051	250.159	161.034	514.141	604.580	219.753	254.169	648.925	281.110	280.824	609.699	190.490	133.343	584.905	190.762	43.919	353.398	521.991	926.161	251.527	467.626	513.079	276.626	413.920	64.530	331.633	365.285	24.044	163.939	437.045	22.503	64.737	391.024	21.840
13764	137.63000	200.195	395.697	1772.763	324.332	170.560	1484.289	354.850	76.085	1133.256	236.542	130.355	891.890	313.720	536.555	1464.900	386.435	630.146	1110.272	266.769	597.023	874.968	352.903	171.876	918.555	230.346	161.329	518.109	580.881	219.956	254.594	627.865	280.834	277.783	579.506	186.871	135.580	547.957	186.182	47.553	344.736	522.696	926.649	248.093	468.023	512.952	276.698	413.828	64.977	331.790	365.236	24.058	163.862	437.088	22.462	64.752	390.889	21.856
13765	137.64000	188.990	396.367	1773.888	315.984	171.097	1485.658	347.892	76.496	1134.556	230.543	130.002	892.354	303.084	536.980	1466.096	372.914	631.435	1111.076	252.355	597.985	876.725	341.675	172.394	920.326	210.508	161.955	522.322	556.568	220.080	254.085	605.825	280.168	274.071	548.080	184.181	135.947	509.572	183.723	50.502	336.317	523.041	927.115	244.591	468.240	512.861	276.691	413.806	65.043	330.754	364.374	23.899	163.860	437.047	22.554	64.877	390.671	21.882
13766	137.65000	178.389	396.776	1774.226	307.317	171.767	1486.550	341.093	76.883	1135.972	224.352	129.684	893.297	293.178	537.295	1467.087	360.132	632.415	1112.179	237.913	598.769	878.476	331.552	172.315	922.627	191.572	162.956	526.186	532.015	219.796	251.757	583.549	279.615	268.858	517.626	181.535	135.205	470.944	182.315	52.564	327.557	523.728	927.889	241.299	468.455	512.472	276.839	413.875	64.943	331.686	365.061	24.055	163.832	437.046	22.610	64.920	390.671	21.832
