NO_OF_FRAMES	303
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-18, 15:44:55	2502.10000300
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
197	1.96000	1136.316	339.817	458.481	881.293	529.403	608.618	850.262	578.368	289.201	903.501	485.498	33.035	867.541	205.060	617.721	873.459	103.328	316.676	950.595	204.233	80.641	322.342	568.330	511.000	-77.128	578.515	375.521	-535.165	591.708	269.011	-572.145	542.370	320.239	-586.974	576.813	147.962	-559.275	547.526	62.848	305.035	219.960	575.653	-52.404	200.200	331.457	-485.135	179.391	164.941	-552.215	222.952	180.985	-464.073	177.417	38.887	-393.792	229.179	23.552
198	1.97000	1135.670	340.144	459.913	881.455	530.058	608.997	850.518	579.060	289.078	903.503	485.666	33.009	868.152	206.726	620.263	877.669	101.836	320.456	960.261	204.197	86.847	321.526	569.466	512.277	-78.355	580.419	379.055	-537.506	594.520	276.870	-573.076	545.314	328.818	-591.898	579.393	156.027	-566.825	548.826	70.819	304.567	221.061	576.458	-52.410	200.796	331.676	-484.964	179.439	164.918	-552.167	222.889	180.904	-464.019	177.493	38.819	-393.777	229.227	23.601
199	1.98000	1135.120	340.859	461.776	881.784	530.562	609.364	850.568	580.016	288.967	903.417	485.898	33.200	868.564	208.363	622.420	882.713	100.668	324.313	970.484	203.842	92.974	320.870	570.605	513.465	-79.909	582.187	382.531	-539.536	597.080	285.021	-574.696	547.969	337.673	-596.019	581.680	165.524	-573.146	550.616	79.371	304.220	222.215	577.132	-52.315	201.451	331.901	-484.771	179.379	165.003	-552.149	222.736	180.870	-463.747	177.491	38.956	-393.792	229.260	23.556
200	1.99000	1135.315	341.130	463.496	882.511	531.170	609.524	850.550	581.099	288.828	903.303	486.199	33.266	869.193	210.023	624.729	888.492	99.670	328.103	981.544	203.193	99.051	320.066	572.014	514.651	-80.915	584.023	386.564	-541.676	599.630	293.644	-575.769	550.485	346.626	-600.392	584.151	175.615	-579.154	552.348	88.135	303.842	223.300	577.947	-52.534	202.055	332.374	-484.713	179.313	165.039	-552.024	222.593	180.887	-463.698	177.430	38.980	-393.804	229.205	23.607
201	2.00000	1135.205	341.833	465.415	883.319	531.666	609.968	850.375	582.398	288.705	903.264	486.539	33.358	869.709	211.604	627.304	894.916	99.046	332.230	991.924	202.181	104.515	319.531	573.195	515.719	-82.182	585.834	391.141	-543.696	601.598	302.173	-577.265	553.068	356.024	-604.300	586.341	184.411	-584.658	554.276	97.813	303.502	224.679	579.112	-52.653	202.555	332.950	-484.612	179.171	165.259	-551.932	222.560	180.812	-463.573	177.287	39.026	-393.724	229.252	23.625
202	2.01000	1135.230	342.494	467.469	883.719	532.322	609.822	850.166	583.945	288.594	903.068	486.928	33.608	870.565	213.383	629.515	902.402	98.576	336.396	1002.322	201.491	109.546	319.009	574.482	516.915	-83.336	587.290	395.130	-545.704	603.726	310.946	-577.833	554.931	365.030	-608.354	588.464	193.886	-590.530	556.346	106.551	303.228	225.836	580.060	-52.777	203.018	333.728	-484.400	179.250	165.324	-551.858	222.473	181.022	-463.273	177.139	39.225	-393.608	229.187	23.597
203	2.02000	1135.466	343.002	469.088	884.210	532.987	609.535	849.943	585.217	288.420	903.182	487.332	33.723	871.463	215.100	631.822	910.112	98.181	340.514	1013.727	200.773	115.299	318.612	575.683	517.990	-84.580	588.989	399.628	-547.518	605.423	320.064	-578.976	556.618	374.455	-612.899	590.259	204.257	-596.449	557.852	116.538	303.162	227.219	581.053	-52.832	203.895	335.005	-484.137	179.287	165.458	-551.572	222.447	181.134	-462.868	176.969	39.415	-393.532	229.132	23.512
204	2.03000	1135.801	343.342	470.874	884.431	533.446	609.091	849.507	586.379	288.204	903.269	487.630	33.892	872.397	216.871	633.482	917.402	97.520	344.593	1026.097	200.019	121.830	318.470	576.896	519.270	-85.461	590.528	404.153	-549.300	607.499	329.255	-579.565	558.287	384.138	-616.618	591.707	214.027	-602.729	559.674	126.812	302.860	228.555	582.134	-53.007	204.735	335.981	-483.864	179.491	165.811	-551.228	222.698	181.268	-462.390	176.921	39.664	-393.465	229.184	23.573
205	2.04000	1136.275	343.730	472.473	884.532	534.034	608.837	849.004	587.455	287.757	903.320	487.855	33.861	873.416	218.343	635.098	924.890	96.588	349.239	1039.001	198.960	128.774	318.374	577.867	520.334	-86.807	592.206	408.930	-551.441	609.401	338.559	-580.048	559.890	393.778	-620.822	593.206	224.876	-608.676	561.222	136.594	302.611	229.780	583.444	-52.930	205.630	336.620	-483.420	180.087	166.026	-550.998	223.266	181.539	-461.996	176.966	39.905	-393.312	229.157	23.493
206	2.05000	1136.436	344.132	474.344	884.812	534.907	608.502	848.851	588.694	287.447	903.174	488.296	34.021	874.249	219.902	636.839	932.408	95.375	354.206	1053.049	197.877	136.874	318.156	578.985	521.423	-87.724	593.582	413.667	-553.118	610.936	348.019	-580.719	562.255	404.072	-624.413	594.378	235.349	-614.310	561.762	146.961	302.306	231.272	584.460	-52.931	206.689	337.163	-483.486	180.862	166.441	-550.805	224.440	181.652	-461.611	177.184	40.115	-393.211	229.205	23.588
